Mass,C,H,O,N,C13,S,P,Error,NeutralMass,MolForm,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,kmass,kdefect
221.0455305,11,10,5,0,0,0,0,0.074297965,222.0528069,C11H10O5,0.45454545454545453,0.9090909090909091,0,0,NA,220.79870908591468,0.20129091408531963
221.0456597,0,0,0,0,0,0,0,0,222.0529361,NA,NA,NA,NA,NA,NA,220.7988381416488,0.20116185835121314
221.0666565,8,14,7,0,0,0,0,0.089596247,222.0739329,C8H14O7,0.875,1.75,0,0,NA,220.8198114964343,0.18018850356568805
221.0819105,12,14,4,0,0,0,0,0.0990703,222.0891869,C12H14O4,0.3333333333333333,1.1666666666666667,0,0,NA,220.83504846368166,0.16495153631834114
221.1030538,9,18,6,0,0,0,0,0.036060836,222.1103303,C9H18O6,0.6666666666666666,2,0,0,NA,220.856168154884,0.14383184511601144
221.1546951,14,22,2,0,0,0,0,0.037950039,222.1619715,C14H22O2,0.14285714285714285,1.5714285714285714,0,0,NA,220.90775179174707,0.09224820825292568
222.0044815,9,5,6,1,0,0,0,-0.31858169,223.0117579,C9H5NO6,0.6666666666666666,0.5555555555555556,0.1111111111111111,0,NA,221.7565893126612,0.24341068733880888
222.0169725,0,0,0,0,0,0,0,0,223.024249,NA,NA,NA,NA,NA,NA,221.769066365099,0.2309336349009925
222.0407712,10,9,5,1,0,0,0,0.110770725,223.0480477,C10H9NO5,0.5,0.9,0.1,0,NA,221.79283849125798,0.20716150874201844
222.9894053,0,0,0,0,0,0,0,0,223.9966817,NA,NA,NA,NA,NA,NA,222.7404133379472,0.25958666205281133
222.998859,0,0,0,0,0,0,0,0,224.0061355,NA,NA,NA,NA,NA,NA,222.74985648186134,0.2501435181386569
223.0248098,10,8,6,0,0,0,0,0.007877102,224.0320862,C10H8O6,0.6,0.8,0,0,NA,222.77577830496622,0.2242216950337763
223.0611562,11,12,5,0,0,0,0,0.182086279,224.0684327,C11H12O5,0.45454545454545453,1.0909090909090908,0,0,NA,222.81208412025128,0.18791587974871504
223.0975687,12,16,4,0,0,0,0,0.061805502,224.1048451,C12H16O4,0.3333333333333333,1.3333333333333333,0,0,NA,222.8484559617285,0.15154403827150986
223.0977204,0,0,0,0,0,0,0,0,224.1049968,NA,NA,NA,NA,NA,NA,222.84860749233889,0.15139250766111445
224.020049,9,7,6,1,0,0,0,0.05102814,225.0273255,C9H7NO6,0.6666666666666666,0.7777777777777778,0.1111111111111111,0,NA,223.76990621198445,0.23009378801555158
224.0564592,10,11,5,1,0,0,0,-0.058548989,225.0637356,C10H11NO5,0.5,1.1,0.1,0,NA,223.80627575602986,0.19372424397013788
224.9335422,0,0,0,0,0,0,0,0,225.9408186,NA,NA,NA,NA,NA,NA,224.68237939731657,0.3176206026834336
225.0040753,9,6,7,0,0,0,0,0.003348583,226.0113518,C9H6O7,0.7777777777777778,0.6666666666666666,0,0,NA,224.752833739427,0.24716626057301028
225.0074332,6,10,7,0,0,1,0,0.057658971,226.0147096,C6H10O7S,1.1666666666666667,1.6666666666666667,0,0,NA,224.75618788996584,0.24381211003415615
225.0404754,10,10,6,0,0,0,0,-0.06094153,226.0477518,C10H10O6,0.6,1,0,0,NA,224.78919319475014,0.2108068052498595
225.0615996,7,14,8,0,0,0,0,-0.03818633,226.0688761,C7H14O8,1.1428571428571428,2,0,0,NA,224.8102938072797,0.1897061927203083
225.0768526,11,14,5,0,0,0,0,-0.02426316,226.084129,C11H14O5,0.45454545454545453,1.2727272727272727,0,0,NA,224.82552977564364,0.17447022435635517
225.0769931,0,0,0,0,0,0,0,0,226.0842695,NA,NA,NA,NA,NA,NA,224.8256701187601,0.17432988123991322
225.1132035,12,18,4,0,0,0,0,0.128687875,226.12048,C12H18O4,0.3333333333333333,1.5,0,0,NA,224.86184008590396,0.13815991409603612
225.9265811,0,0,0,0,0,0,0,0,226.9338576,NA,NA,NA,NA,NA,NA,225.67430946120942,0.32569053879058174
225.9993009,8,5,7,1,0,0,0,0.106488819,227.0065773,C8H5NO7,0.875,0.625,0.125,0,NA,225.74694806163112,0.25305193836888407
226.035658,9,9,6,1,0,0,0,0.231493759,227.0429345,C9H9NO6,0.6666666666666666,1,0.1111111111111111,0,NA,225.78326456496845,0.21673543503155202
226.0358308,0,0,0,0,0,0,0,0,227.0431072,NA,NA,NA,NA,NA,NA,225.78343717201844,0.21656282798156212
226.9784474,0,0,0,0,0,0,0,0,227.9857239,NA,NA,NA,NA,NA,NA,226.7250012379019,0.27499876209810736
227.0197248,9,8,7,0,0,0,0,0.006165893,228.0270012,C9H8O7,0.7777777777777778,0.8888888888888888,0,0,NA,226.7662325471883,0.23376745281169065
227.0561058,10,12,6,0,0,0,0,0.025930554,228.0633822,C10H12O6,0.6,1.2,0,0,NA,226.8025729238387,0.19742707616128996
227.0673459,9,12,5,2,0,0,0,-0.003860404,228.0746224,C9H12N2O5,0.5555555555555556,1.3333333333333333,0.2222222222222222,0,NA,226.81380047304262,0.18619952695738107
227.0924783,11,16,5,0,0,0,0,0.082896754,228.0997547,C11H16O5,0.45454545454545453,1.4545454545454546,0,0,NA,226.83890480998028,0.16109519001972217
227.1288874,12,20,4,0,0,0,0,-0.020654211,228.1361638,C12H20O4,0.3333333333333333,1.6666666666666667,0,0,NA,226.87527325525394,0.12472674474605583
227.1652231,13,24,3,0,0,0,0,0.19770492,228.1724995,C13H24O3,0.23076923076923078,1.8461538461538463,0,0,NA,226.9115683824867,0.08843161751329376
227.2016282,14,28,2,0,0,0,0,0.111706718,228.2089046,C14H28O2,0.14285714285714285,2,0,0,NA,226.9479328322268,0.05206716777320253
228.0512632,9,11,6,1,0,0,0,0.425592575,229.0585396,C9H11NO6,0.6666666666666666,1.2222222222222223,0.1111111111111111,0,NA,227.79661912219552,0.20338087780447722
228.1605036,12,23,3,1,0,0,0,0.059083866,229.1677801,C12H23NO3,0.25,1.9166666666666667,0.08333333333333333,0,NA,227.905737543389,0.09426245661100552
228.9401671,0,0,0,0,0,0,0,0,229.9474435,NA,NA,NA,NA,NA,NA,228.68453046415968,0.31546953584032167
228.9455588,0,0,0,0,0,0,0,0,229.9528353,NA,NA,NA,NA,NA,NA,228.68991614373928,0.310083856260718
228.9840833,0,0,0,0,0,0,0,0,229.9913597,NA,NA,NA,NA,NA,NA,228.72839762693846,0.27160237306154045
229.0142163,12,6,5,0,0,0,0,0.132847403,230.0214927,C12H6O5,0.4166666666666667,0.5,0,0,NA,228.75849698016142,0.24150301983857503
229.0176119,9,10,5,0,0,1,0,0.022250892,230.0248883,C9H10O5S,0.5555555555555556,1.1111111111111112,0,0,NA,228.76188878860415,0.23811121139584657
229.0353935,9,10,7,0,0,0,0,-0.075255911,230.04267,C9H10O7,0.7777777777777778,1.1111111111111112,0,0,NA,228.77965053351073,0.22034946648926734
229.071769,10,14,6,0,0,0,0,-0.031750158,230.0790455,C10H14O6,0.6,1.4,0,0,NA,228.81598541630248,0.18401458369751822
229.1081296,11,18,5,0,0,0,0,0.076603387,230.1154061,C11H18O5,0.45454545454545453,1.6363636363636365,0,0,NA,228.8523054157317,0.14769458426829374
229.1445407,12,22,4,0,0,0,0,-0.034653811,230.1518172,C12H22O4,0.3333333333333333,1.8333333333333333,0,0,NA,228.88867585877213,0.11132414122786827
229.1557546,11,22,3,2,0,0,0,0.050229789,230.163031,C11H22N2O3,0.2727272727272727,2,0.18181818181818182,0,NA,228.8998772372312,0.10012276276879106
229.1809103,13,26,3,0,0,0,0,0.034458092,230.1881868,C13H26O3,0.23076923076923078,2,0,0,NA,228.92500484815187,0.07499515184812822
230.0670304,9,13,6,1,0,0,0,-0.085307225,231.0743069,C9H13NO6,0.6666666666666666,1.4444444444444444,0.1111111111111111,0,NA,229.810135498532,0.18986450146800848
231.0147101,8,8,8,0,0,0,0,-0.298892105,232.0219866,C8H8O8,1,1,0,0,NA,230.7567570109128,0.2432429890872072
231.0298973,12,8,5,0,0,0,0,-0.001879812,232.0371738,C12H8O5,0.4166666666666667,0.6666666666666666,0,0,NA,230.77192725274958,0.22807274725042248
231.0509798,9,12,7,0,0,0,0,0.200268939,232.0582563,C9H12O7,0.7777777777777778,1.3333333333333333,0,0,NA,230.79298621184174,0.20701378815826388
231.0511528,0,0,0,0,0,0,0,0,232.0584292,NA,NA,NA,NA,NA,NA,230.7931590186684,0.20684098133159523
231.0873732,10,16,6,0,0,0,0,0.166082841,232.0946497,C10H16O6,0.6,1.6,0,0,NA,230.8293389746462,0.17066102535380878
231.0986584,9,16,5,2,0,0,0,-0.056978523,232.1059349,C9H16N2O5,0.5555555555555556,1.7777777777777777,0.2222222222222222,0,NA,230.84061157349106,0.15938842650894003
231.1237602,11,20,5,0,0,0,0,0.15964892,232.1310367,C11H20O5,0.45454545454545453,1.8181818181818181,0,0,NA,230.86568534459693,0.13431465540307386
231.1350092,10,20,4,2,0,0,0,0.092747535,232.1422856,C10H20N2O4,0.4,2,0.2,0,NA,230.87692178386305,0.12307821613694614
231.1601951,12,24,4,0,0,0,0,-0.05295102,232.1674715,C12H24O4,0.3333333333333333,2,0,0,NA,230.9020795610621,0.09792043893790492
